,Basal18,Basal73,Basal98,Basal103,Basal109,LumA18,LumA73,LumA98,LumA103,LumA109
ENSG00000000003,6807,5526,2056,2509,2881,17957,580,1100,1598,850
ENSG00000000419,3229,3191,4408,2492,1503,2637,3273,2200,1316,1680
ENSG00000000457,1444,1264,329,1096,519,1883,2250,2375,1002,1559
ENSG00000000460,1416,1274,289,881,844,675,896,779,471,402
ENSG00000000938,588,582,428,4129,309,443,860,284,110,334
ENSG00000000971,1323,2667,270,16605,1600,5233,7593,103,1530,1271
ENSG00000001036,3163,2822,8151,4250,1404,2733,4066,2047,727,1713
ENSG00000001084,1760,1802,1126,3447,691,3908,4688,4247,2505,3670
ENSG00000001167,65310,4675,2432,6015,2180,5719,3268,4143,2339,2376
ENSG00000001460,1454,451,379,442,305,1081,847,1015,821,595
ENSG00000001461,3156,1930,585,3433,1130,6855,7762,12090,1058,3979
ENSG00000001497,6125,5786,8707,4866,1616,4754,4130,4443,3213,3016
ENSG00000001561,1784,441,335,2620,433,5072,5171,4636,115,3559
ENSG00000001617,2383,4041,3547,1969,628,12783,6301,8587,8767,7080
ENSG00000001629,2963,3710,2513,9163,4606,7684,7105,3860,4217,4072
ENSG00000001630,65,165,36,139,15,185,101,156,148,118
ENSG00000001631,384,399,370,444,284,658,495,307,269,319
ENSG00000002016,388,222,552,492,1245,721,832,994,285,508
ENSG00000002330,434,450,297,304,112,801,584,964,473,222
ENSG00000002549,11571,6024,6925,32638,4841,9392,9837,8299,4434,5114
ENSG00000002586,16949,21066,4451,18039,3451,10263,14191,1596,7332,2867
ENSG00000002587,284,265,280,736,177,289,406,32,101,150
ENSG00000002726,97,25,43,413,40,17,53,4,555,10
ENSG00000002746,29,68,44,37,49,8,34,6,7,201
ENSG00000002822,12,21,16,147,9,7,102,11,10,12
ENSG00000002834,5886,16148,8559,21745,4551,38198,29427,32482,21293,18309
ENSG00000002919,1244,1731,941,3348,542,2576,2247,2521,1537,1540
ENSG00000002933,2036,4048,471,10219,607,1336,2557,238,2864,502
ENSG00000003056,2377,2172,2205,12108,5597,3752,13428,6856,2122,3798
ENSG00000003096,529,256,49,229,316,732,425,59,552,551
ENSG00000003137,279,513,195,1995,85,194,63,27,57,79
ENSG00000003147,1778,1898,1069,920,660,6170,7019,8885,1703,3587
ENSG00000003249,18688,1985,2827,773,1493,1622,517,2037,2493,716
ENSG00000003393,1197,1995,1156,2041,782,3489,1824,2990,1444,1657
ENSG00000003400,405,183,569,2854,415,816,1183,170,230,413
ENSG00000003402,4960,3617,2747,13695,2135,9050,9487,6668,2987,4957
ENSG00000003436,386,539,124,2884,626,1203,2552,109,459,376
ENSG00000003509,983,991,1333,1003,555,1149,912,1204,458,608
ENSG00000003756,2954,1690,1306,4546,1384,8064,5275,9048,2239,3239
ENSG00000003987,106,42,31,77,186,154,119,88,87,39
ENSG00000003989,287,46,145,1691,437,1690,44071,9,13331,3950
ENSG00000004059,8258,9364,12696,5655,2668,6629,4179,2896,5708,4519
ENSG00000004139,195,69,69,467,115,246,309,221,187,154
ENSG00000004142,12476,11182,8986,6545,2329,10224,9371,11808,6555,6187
ENSG00000004399,6190,6947,12987,22857,8530,7252,17792,11979,7862,5280
ENSG00000004455,10393,15138,15742,11458,4225,12247,10778,12343,7269,7516
ENSG00000004468,470,65,162,3778,458,133,325,8,22,144
ENSG00000004478,12284,8265,14583,14422,28419,18167,18176,26338,37153,14740
ENSG00000004487,14534,7403,10002,5707,5761,10433,10566,10994,5745,5743
ENSG00000004534,4622,2773,3149,5128,1658,7452,6427,11314,3357,3094
ENSG00000004660,2447,1709,911,605,321,1402,1158,1945,214,1322
ENSG00000004700,788,849,792,5609,2266,1710,4011,1868,680,1184
ENSG00000004766,1310,2154,887,3340,1340,3079,3343,1421,1478,2621
ENSG00000004776,44,20,73,754,15,90,102,6,11,27
ENSG00000004777,1775,415,430,751,192,1104,463,1275,579,297
ENSG00000004779,5385,5519,2925,3286,946,3162,4485,4772,2039,3177
ENSG00000004799,1875,213,130,16416,2248,1761,7635,76,677,1055
ENSG00000004838,277,43,32,42,8,2412,494,1082,1094,747
ENSG00000004864,1673,1881,2301,3975,2240,1479,5201,975,1125,1181
ENSG00000004866,1391,1914,1955,1766,792,1828,2091,1824,885,1323
ENSG00000004897,3525,4389,3311,9156,3494,6638,8621,7269,3101,4246
ENSG00000004961,2324,1976,1011,2032,803,1333,2140,1639,1096,1055
ENSG00000004975,3411,1636,1895,1859,874,2149,2557,2326,1043,1692
ENSG00000005001,2144,608,941,76,205,907,400,1977,1260,734
ENSG00000005007,8052,11346,6898,11322,3184,13910,10580,13912,4765,8485
ENSG00000005020,788,2422,784,7886,949,1653,11197,1508,1069,1666
ENSG00000005022,17477,52072,12722,24966,8668,12596,27268,16165,17528,9195
ENSG00000005059,839,3822,859,3606,489,1030,2056,1345,719,936
ENSG00000005073,14,32,108,683,8,31,9,5,4,8
ENSG00000005075,1884,3440,2945,1585,505,1383,1484,996,1799,1275
ENSG00000005100,2977,1877,3188,2428,1427,3253,3159,2665,902,1513
ENSG00000005102,126,3,70,1150,223,593,473,11,72,357
ENSG00000005108,63,68,18,1126,192,678,974,74,110,214
ENSG00000005156,5112,5618,2953,3373,1313,5152,3830,5428,2518,3414
ENSG00000005175,1560,3163,1570,3762,1543,3436,4261,2865,1628,1863
ENSG00000005187,203,111,115,354,133,389,334,166,65,177
ENSG00000005189,1030,610,157,386,256,420,927,953,237,636
ENSG00000005194,4317,4294,4021,3653,1619,2224,3274,2232,1364,1185
ENSG00000005206,3938,1974,1327,1082,383,2678,1745,2582,1508,1043
ENSG00000005238,1316,1591,701,1540,908,1978,5215,2471,559,1392
ENSG00000005243,422,932,160,1728,212,462,1280,227,387,841
ENSG00000005249,1145,3924,1232,4632,1057,2690,1820,6194,3513,7768
ENSG00000005302,4522,3714,1356,4888,1933,2468,2392,1619,897,1028
ENSG00000005339,9194,6192,4694,11234,3623,12342,8850,19005,6815,10279
ENSG00000005379,3149,588,576,352,154,1605,1403,4206,363,779
ENSG00000005436,957,997,1629,1563,565,1161,1495,1550,528,1042
ENSG00000005448,567,357,740,576,191,1504,448,1314,274,571
ENSG00000005469,404,583,177,1200,375,2320,1601,1715,1520,1610
ENSG00000005471,73,53,22,308,48,130,673,56,73,108
ENSG00000005483,2461,5665,2878,9867,3069,10677,10195,5424,3082,5665
ENSG00000005486,5735,3175,6881,3466,1877,9999,3066,16567,8364,5846
ENSG00000005513,14609,1415,66,159,14,42,49,22,14,51
ENSG00000005700,2155,3979,2115,7668,2104,5944,13357,10970,2640,6566
ENSG00000005801,1439,2127,1225,1588,1700,1622,2598,1894,540,993
ENSG00000005810,2212,3654,734,17437,3010,5639,14553,7628,1813,4314
ENSG00000005812,1054,3238,452,5827,1250,3607,10300,4872,1418,2866
ENSG00000005844,880,706,751,14461,1153,905,1378,707,512,1341
ENSG00000005882,1035,728,794,1075,341,2115,1528,3260,1487,1842
ENSG00000005884,1326,569,4873,2204,1428,8376,3370,9992,5881,6722
ENSG00000005889,1959,2799,2705,6060,1821,5752,9611,10602,1650,11896
ENSG00000005893,20479,27194,6223,33425,15243,29905,19670,16777,21638,14869
ENSG00000005961,92,13,233,44,23,46,13,59,39,9
ENSG00000006007,5426,2886,1534,5327,2042,7885,6318,14413,1730,8335
ENSG00000006015,1407,2471,703,847,252,695,1236,888,869,405
ENSG00000006016,269,577,71,235,22,140,383,39,179,96
ENSG00000006025,350,319,309,652,325,797,1502,1765,132,540
ENSG00000006042,2610,2260,97,1807,1513,7307,4539,3568,1024,3953
ENSG00000006047,1761,722,196,135,129,1261,136,389,385,349
ENSG00000006062,724,380,518,2867,733,1205,1450,1086,240,1046
ENSG00000006071,24,0,0,2,2,263,254,4240,200,1190
ENSG00000006118,13546,14580,5174,951,2203,3130,3288,3927,6377,1076
ENSG00000006125,15642,29019,12513,26676,10118,84643,31605,30677,25573,19678
ENSG00000006194,2487,2049,1460,2264,1095,4075,2751,4420,1600,3495
ENSG00000006210,8894,21654,5814,2643,1573,2477,1301,1248,778,3115
ENSG00000006282,1757,1130,1754,2400,371,6017,4503,4035,4152,4562
ENSG00000006283,13,7,38,82,18,97,57,15,65,12
ENSG00000006327,6909,2344,5913,1494,1214,1097,4001,1925,2611,1128
ENSG00000006432,678,1023,463,903,632,1121,713,3135,310,643
ENSG00000006451,5139,6693,4032,7412,2418,6140,11226,5414,2810,3255
ENSG00000006453,4008,3618,2646,2181,1451,2065,1584,1289,784,1953
ENSG00000006459,2378,3008,1662,7995,1469,1807,5937,712,2128,1677
ENSG00000006468,583,780,162,1131,543,962,681,75,427,387
ENSG00000006530,1491,2220,3091,2471,1442,2978,2999,1138,1070,1372
ENSG00000006534,1317,518,897,2194,349,470,2259,1036,593,1727
ENSG00000006555,2219,1421,2244,664,687,606,686,2759,496,632
ENSG00000006576,1224,2334,845,5099,2375,2085,15684,2135,1595,1467
ENSG00000006607,2302,2317,1763,3529,1169,5917,3374,3561,1109,2304
ENSG00000006625,2257,3626,1722,1217,698,2476,2928,2885,947,1569
ENSG00000006634,850,2666,1503,3008,1364,771,1616,409,454,505
ENSG00000006638,281,151,68,265,47,164,244,230,60,139
ENSG00000006652,894,1387,707,870,623,359,468,265,167,172
ENSG00000006695,1857,1796,880,1625,615,1533,2247,1569,617,1026
ENSG00000006704,1505,1800,1629,916,1137,3050,1278,3900,2089,1440
ENSG00000006712,17176,3649,3564,5507,1870,5925,5429,10220,4177,4039
ENSG00000006715,3491,2869,971,6238,1991,6142,8113,7028,2040,3010
ENSG00000006740,703,596,54,413,131,342,239,432,52,158
ENSG00000006744,9456,8834,3477,6505,1479,7498,6253,7952,2565,4246
ENSG00000006747,132,366,51,215,363,154,3257,221,109,174
ENSG00000006756,4819,4258,889,3190,2316,18533,6919,6284,5224,3528
ENSG00000006757,577,2598,550,786,374,3887,2412,4561,1166,3830
ENSG00000006788,15,43,3,14,18,30,31,1,12,3
ENSG00000006831,3037,3175,4554,13157,9222,8564,8546,27034,43725,7611
ENSG00000006837,27,11,12,16,9,51,13,62,28,35
ENSG00000007047,1872,2683,3057,2243,1350,3461,2066,5478,2290,2216
ENSG00000007062,43532,4313,7222,5118,3618,878,369,596,83,721
ENSG00000007080,3814,6009,3545,2268,721,2841,2589,3022,2211,1427
ENSG00000007129,91,11,47,449,57,81,125,17,9,33
ENSG00000007168,8003,5381,3372,14137,4442,15369,13462,15305,3955,7514
ENSG00000007171,201,28,11,64,49,12,83,13,18,36
ENSG00000007202,6183,10099,4994,14321,3771,16440,16024,21047,7684,6823
ENSG00000007216,45,1064,0,0,11,861,39,12,3,185
ENSG00000007237,3028,1017,498,9210,1332,4953,3150,380,1588,1475
ENSG00000007255,1913,2663,1027,1022,363,1119,1232,1916,1265,1705
ENSG00000007264,128,167,1928,790,45,88,6425,122,41,81
ENSG00000007312,453,96,737,915,58,64,189,24,17,178
ENSG00000007314,100,16,7,273,29,138,138,11,48,93
ENSG00000007341,628,561,500,718,299,1263,1269,1521,607,840
ENSG00000007376,4813,1873,1843,1222,426,1424,1437,3110,1316,1687
ENSG00000007384,6006,2680,1156,955,662,3316,2083,6763,2759,3708
ENSG00000007392,3813,2750,1163,1595,754,2910,1890,6665,2286,2074
ENSG00000007402,113,202,140,113,80,2634,495,2718,2347,943
ENSG00000007516,162,100,97,97,34,4086,140,1481,1825,1084
ENSG00000007520,3691,2362,1534,1225,489,1711,1584,3133,1616,2007
ENSG00000007541,4630,2448,1472,908,498,4480,2000,10022,4207,5829
ENSG00000007545,2046,1069,809,1149,408,1640,1173,2646,916,1249
ENSG00000007866,5196,3721,2389,1857,831,2775,2326,3142,1703,2214
ENSG00000007908,246,111,142,1349,795,683,3432,198,66,222
ENSG00000007923,3264,1629,2186,2498,1451,2729,3129,3225,810,1495
ENSG00000007933,90,293,38,291,62,131,615,39,69,61
ENSG00000007944,1628,750,1933,3279,797,3591,3661,5585,3379,3596
ENSG00000007952,65,57,51,44,31,55,66,78,68,62
ENSG00000007968,1675,657,1000,1468,393,370,817,825,212,315
ENSG00000008018,14732,7799,19130,12255,3518,6312,7821,12229,7451,7006
ENSG00000008056,33,26,261,92,42,55,42,39,135,18
ENSG00000008083,8512,9331,2222,3435,1159,2616,3273,5423,3705,1814
ENSG00000008086,606,1546,181,1416,903,2161,2199,410,1001,764
ENSG00000008118,23,10,11,85,13,1,48,11,14,8
ENSG00000008128,147,31,36,45,27,58,48,82,11,22
ENSG00000008130,4427,4983,2686,6873,1799,6075,4970,5136,1331,3487
ENSG00000008196,383,386,0,6,28,488,129,10013,35,1607
ENSG00000008226,56,21,9,32,28,170,29,192,24,32
ENSG00000008256,3267,2971,2056,3626,1294,2903,2593,397,972,1012
ENSG00000008277,257,72,26,643,594,1297,3376,408,263,407
ENSG00000008282,6597,15887,5457,11795,5116,14513,18320,14474,5273,13955
ENSG00000008283,6867,14544,6226,5186,3477,22230,10278,13510,13179,10354
ENSG00000008294,5694,7478,2203,13538,3646,7023,17221,6118,3494,4372
ENSG00000008300,589,2303,214,1165,128,683,611,166,109,106
ENSG00000008311,921,490,35,816,708,1669,1769,1095,438,589
ENSG00000008323,919,378,839,1451,2183,395,194,1168,799,896
ENSG00000008324,857,1052,1291,1434,421,1306,1180,1449,858,828
ENSG00000008382,577,1137,672,603,116,533,1237,786,572,461
ENSG00000008394,9686,5644,10137,9081,8864,8296,1034,6015,11162,7856
ENSG00000008405,1352,1138,660,2538,811,1125,2314,2476,826,1390
ENSG00000008441,14292,32075,14797,7379,2324,16804,10722,41483,3058,5316
ENSG00000008513,2567,4236,1466,9524,2575,8898,10826,12909,3833,5093
ENSG00000008516,315,189,87,1026,50,351,80,124,433,476
ENSG00000008517,2068,4948,7863,12240,1956,556,2566,2239,1867,912
ENSG00000008710,3391,1806,1135,2473,1046,3348,2767,5766,894,2642
ENSG00000008735,299,315,1394,1206,32,3701,1206,1298,1080,2999
ENSG00000008838,7067,6028,3440,5108,1819,6583,5417,5712,9701,3029
ENSG00000008853,566,413,494,1236,289,1256,1243,2432,375,1506
ENSG00000008869,2182,3090,1192,4432,1586,7172,5414,6915,2121,4026
ENSG00000008952,4562,13908,7867,15013,3941,13907,21229,16267,10237,11462
ENSG00000008988,75524,65330,108011,82815,18084,25379,48641,28070,24086,22155
ENSG00000009307,32134,64024,55084,72082,21714,72846,69950,64529,23434,31730
ENSG00000009335,5330,6964,12280,10821,4599,10423,12915,5916,4223,6440
ENSG00000009413,1301,2057,736,4842,1041,2285,3121,3584,445,1370
ENSG00000009694,14,53,3,275,53,50,31,4,21,10
ENSG00000009724,32,16,55,75,29,167,87,241,21,62
ENSG00000009780,1048,624,505,1341,555,1395,1337,1246,627,878
ENSG00000009790,2382,175,198,3896,489,217,500,81,38,237
ENSG00000009830,1222,905,601,1350,571,1831,2132,4299,1081,1991
ENSG00000009844,4075,4886,6207,4777,1865,3065,3875,4492,1960,2496
ENSG00000009950,85,104,50,134,344,181,19,618,90,54
ENSG00000009954,7777,8251,8865,19111,7608,13046,14560,13519,7272,7963
ENSG00000010017,2713,4039,2309,3974,1130,3903,4406,3489,4786,2649
ENSG00000010030,478,217,527,1510,195,235,353,184,83,168
ENSG00000010072,1607,2127,1075,1334,616,986,1231,1062,762,510
ENSG00000010165,9284,4352,1994,3144,1664,4473,4435,4292,2392,2493
ENSG00000010219,1049,1123,1182,1299,1607,556,1195,1311,458,593
ENSG00000010244,7518,12080,7788,12567,4557,13124,10287,11975,5662,5744
ENSG00000010256,11259,15878,9649,9781,2864,9939,19626,14031,8346,8374
ENSG00000010270,1735,1169,750,3010,937,2358,3017,3209,1016,1612
ENSG00000010278,12589,8407,16407,19629,13690,17897,30656,32885,25258,23165
ENSG00000010292,6409,4797,15279,15051,15416,3690,7183,8108,3350,3482
ENSG00000010295,585,553,152,1532,282,446,1396,209,145,283
ENSG00000010310,34,19,11,30,29,183,1365,1442,164,106
ENSG00000010318,297,250,115,323,58,490,922,920,244,480
ENSG00000010319,651,400,116,5362,292,2072,1739,2945,1251,2155
ENSG00000010322,4737,3901,2628,5775,1470,12332,6812,15476,4335,5959
ENSG00000010327,3155,2106,723,9870,1354,3600,4954,2625,692,1387
ENSG00000010361,1730,547,655,626,229,1484,934,2096,841,1050
ENSG00000010404,237,258,156,870,151,598,375,445,221,235
ENSG00000010539,683,922,640,1450,451,1109,850,1089,284,662
ENSG00000010610,2997,3280,2706,35171,3168,2162,31161,1954,653,1893
ENSG00000010626,249,339,491,307,294,906,676,1367,580,696
ENSG00000010671,506,288,283,4072,385,445,2951,267,148,398
ENSG00000010704,554,490,402,1202,523,2421,1912,1736,1213,1322
ENSG00000010803,2685,3188,3969,2373,1009,2671,2966,4353,1648,1836
ENSG00000010810,2390,2451,805,9245,1260,1291,3286,317,515,858
ENSG00000010818,1888,2200,1921,7540,1938,2140,3792,772,737,1085
ENSG00000010932,649,805,41,2619,347,232,1353,20,395,85
ENSG00000011007,4013,3525,3896,5614,2357,5926,7212,5010,2312,3631
ENSG00000011009,10385,3338,3329,3076,1719,5894,3898,5275,3434,2822
ENSG00000011021,990,401,501,1489,751,1957,1836,2497,352,927
ENSG00000011028,7550,8430,4012,9936,3753,8946,7497,768,5004,3115
ENSG00000011105,1886,2605,3308,2387,4461,7168,4524,9997,1687,4370
ENSG00000011114,1253,2444,1493,4340,1368,3376,4820,6167,1012,2752
ENSG00000011132,925,1351,614,873,171,583,1155,1399,422,579
ENSG00000011143,1552,1387,710,631,340,1907,1189,1892,1132,864
ENSG00000011198,2338,3101,1059,3237,1039,3863,3731,4051,2839,2180
ENSG00000011201,260,274,68,2179,692,8138,3653,2615,195,1753
ENSG00000011243,2191,2160,1648,1498,696,2823,2535,3706,1399,1286
ENSG00000011258,1745,2415,907,2226,1296,3196,2989,2955,1328,1604
ENSG00000011260,3174,2848,2031,4670,1198,3121,5410,3557,2135,2224
ENSG00000011275,3528,4284,4864,5715,1823,5217,6544,8922,1642,3764
ENSG00000011295,3660,3583,1906,3774,1547,8155,6278,9669,1841,6668
ENSG00000011304,21186,25349,20035,21120,5108,16397,20850,21056,16159,10743
ENSG00000011332,200,23,120,43,12,31,32,127,31,19
ENSG00000011347,5612,13961,4129,1275,1671,9304,2497,2673,8097,1403
ENSG00000011376,1405,1835,1288,3176,979,4214,3398,3004,1166,2260
ENSG00000011405,1753,3038,1669,7946,3381,11685,12155,8741,3674,6303
ENSG00000011422,4419,3374,3305,5754,1118,972,2918,1064,1034,1024
ENSG00000011426,9063,5603,4528,10354,3034,1062,2360,2548,1145,605
ENSG00000011451,4972,9554,5091,3384,1482,7113,4388,5651,3535,2862
ENSG00000011454,4115,5342,4265,5994,2682,7931,5814,9784,5305,4215
ENSG00000011465,12275,39844,1366,125526,13689,38493,36368,1330,13888,11617
ENSG00000011478,1543,808,1374,575,633,1558,1199,1408,521,811
ENSG00000011485,4547,3563,3369,4147,1674,3363,3647,4847,2763,2326
ENSG00000011523,1081,2952,2292,3355,1004,4196,2747,3131,970,2547
ENSG00000011566,2099,1604,1598,2721,2010,4940,2912,4476,1729,3247
ENSG00000011590,159,29,33,196,34,54,36,26,5,38
ENSG00000011600,2576,3413,2349,11258,785,1323,8112,1655,634,1487
ENSG00000011638,3209,5385,765,1588,1243,3763,2684,4086,753,2658
ENSG00000012048,1847,1620,1299,2303,1333,2085,2844,1814,905,1104
ENSG00000012061,1953,3638,2929,3707,916,4013,2604,4214,2350,2164
ENSG00000012124,708,28,173,2061,134,1721,2223,485,104,649
ENSG00000012171,288,116,407,108,92,4748,1711,1900,8702,3176
ENSG00000012174,2243,1776,541,3495,1385,3106,4151,3202,1447,2184
ENSG00000012211,974,529,896,597,383,794,806,973,517,410
ENSG00000012223,4087,133926,67843,1798,1553,8578,479707,18656,3842,44292
ENSG00000012232,3236,3068,3685,3888,1692,4814,3818,5764,700,2719
ENSG00000012660,3911,4410,3539,17981,3544,51330,43190,71278,32800,45216
ENSG00000012779,1573,962,544,6262,535,1024,4315,6237,235,2482
ENSG00000012822,3193,2637,843,4607,1877,7546,8369,9474,3378,5468
ENSG00000012963,2172,3194,1848,4020,1268,3781,5603,7086,2554,4466
ENSG00000012983,2469,3641,2079,2707,2393,3488,5741,4470,1553,2847
ENSG00000013016,693,628,695,1957,642,2311,1933,505,428,1007
ENSG00000013275,32243,6235,7160,10391,1720,5995,5379,7592,4827,4130
ENSG00000013288,2951,2120,1197,6796,872,11444,5451,6006,6412,5366
ENSG00000013297,444,18,183,536,466,1297,383,44,67,493
ENSG00000013306,13715,17191,28503,6799,3853,11879,8221,10914,11226,6154
ENSG00000013364,3829,5181,3676,13252,1634,11771,19148,19544,7395,16105
ENSG00000013374,5574,4126,11014,14255,3443,7487,7521,2896,2737,3666
ENSG00000013375,1983,3670,1173,4000,1352,2319,4738,2679,1135,2149
ENSG00000013392,397,672,239,563,198,628,796,1055,145,755
ENSG00000013441,3256,2820,1986,4581,1709,7558,5852,13635,2993,5315
ENSG00000013503,437,1017,1317,1414,445,1450,1602,1418,849,477
ENSG00000013523,1341,788,885,2903,619,2052,2878,3250,833,1739
ENSG00000013561,1952,5808,2129,5427,1482,6637,7493,7372,4500,5037
ENSG00000013563,921,238,477,562,173,783,1306,774,447,330
ENSG00000013573,1187,430,2435,2109,3230,744,2349,1526,911,1125
ENSG00000013583,1871,2133,1711,3671,1724,6236,3036,12913,4585,5672
ENSG00000013588,1643,7828,1827,2147,348,13411,12514,5868,16732,18087
ENSG00000013619,2314,71,533,503,669,235,406,136,389,177
ENSG00000013725,525,565,388,6859,394,294,738,82,39,210
ENSG00000013810,7584,6373,10361,5459,2154,2038,2157,2739,2367,1083
ENSG00000014123,3397,3417,893,5503,1538,3287,4935,5772,1888,4172
ENSG00000014138,321,380,339,339,115,369,347,461,135,108
ENSG00000014164,7096,4186,3204,1722,739,2313,1715,1888,2327,1260
ENSG00000014216,22325,17390,8239,10602,5641,25288,15149,21421,15514,6617
ENSG00000014257,23,19,384,134,100,218,165,7,106,84
ENSG00000014641,11597,17790,11619,12603,3093,9472,16298,12327,5101,6217
ENSG00000014824,3873,4525,2716,5899,1837,8695,12483,8422,2747,6420
ENSG00000014914,4978,180,188,407,648,887,793,1074,538,412
ENSG00000014919,1985,1268,1233,2764,1841,1183,4162,3398,975,2253
ENSG00000015133,2456,4196,2519,5590,1410,3173,3712,11236,6156,2325
ENSG00000015153,461,908,905,1598,561,1095,1592,1463,476,1113
ENSG00000015171,5636,10718,4755,7874,3906,16029,11754,22299,4960,8074
ENSG00000015285,744,563,734,3918,315,331,1595,284,91,348
ENSG00000015413,121,854,4,139,54,183,125,12,11,46
ENSG00000015475,2047,2652,2872,2426,742,935,2990,1894,1048,867
ENSG00000015479,73,75,41,202,117,330,177,435,139,161
ENSG00000015520,3,27,3,4,7,22,7,480,94,41
ENSG00000015532,2320,1330,1673,1885,713,4342,3080,3932,2970,2415
ENSG00000015676,9149,8115,4350,7016,1980,11958,8426,19479,4257,7655
ENSG00000016391,2285,1310,1351,1442,280,5415,4897,5130,2336,3853
ENSG00000016402,103,176,103,112,122,2427,177,11,1183,2214
ENSG00000016864,2898,2550,1478,4262,1147,6309,5922,5484,2628,3617
ENSG00000017260,5277,7970,9815,13630,8097,12190,18700,10666,5539,7112
ENSG00000017427,59,5,1,1584,76,158,291,2,27,34
ENSG00000017483,310,1176,98,1536,2262,252,572,92,294,182
ENSG00000017797,7487,9846,3737,11159,1750,9502,7832,10388,5361,8522
ENSG00000018189,2528,3639,1196,3345,2390,6112,3458,4891,1272,2520
ENSG00000018236,186,309,33,1757,464,925,422,8,220,218
ENSG00000018280,1016,1228,271,559,224,210,223,360,119,170
ENSG00000018408,3167,11515,10813,9112,3500,7059,5164,3660,1898,2325
ENSG00000018510,1439,1940,3375,9806,3347,2779,9590,11970,705,5036
ENSG00000018610,1739,2988,1216,2158,1184,2463,2306,2134,1649,1559
ENSG00000018625,12,0,0,320,9,247,122,17,43,255
ENSG00000018699,1718,3342,3173,2041,1139,2559,1711,2196,936,1506
ENSG00000018869,29,114,15,141,75,392,299,338,43,144
ENSG00000019102,39,8,6,25,17,141,105,28,15,70
ENSG00000019144,3603,1548,3828,5813,2049,5432,5354,3859,1994,2301
ENSG00000019169,512,1886,171,3901,406,13,39,67,59,26
ENSG00000019485,334,936,768,889,287,870,749,1567,226,486
ENSG00000019505,227,64,60,413,585,1055,14,7844,1604,2892
ENSG00000019549,869,1391,260,2208,760,1392,1764,135,896,530
ENSG00000019582,84914,97279,216142,540733,37387,60367,115778,47366,15510,61515
ENSG00000019991,84,63,11,795,298,852,856,42,57,204
ENSG00000019995,1042,624,1023,1468,912,1172,1854,2768,680,1147
ENSG00000020129,5287,2844,2718,3170,606,4062,2761,8631,2863,2321
ENSG00000020181,1623,1727,357,3211,1232,2922,2999,390,1126,932
ENSG00000020256,2117,1592,2583,1579,598,1682,1421,1948,927,979
ENSG00000020426,477,560,647,716,439,892,871,992,690,721
ENSG00000020577,864,920,307,3040,642,614,1374,656,185,293
ENSG00000020633,1821,910,3013,5927,475,631,2387,367,128,667
ENSG00000020922,1575,1991,1890,3569,2294,3013,4305,3251,651,1098
ENSG00000021300,4924,914,3388,700,863,1057,969,3130,359,2049
ENSG00000021355,1780,1502,2355,8498,1321,7652,7598,7788,3913,4494
ENSG00000021488,20,3,8,14,5,29,5,67,12,18
ENSG00000021574,1292,3054,1885,3465,1580,1920,2859,2119,1004,1519
ENSG00000021645,51,61,2,140,69,260,1555,1878,240,921
ENSG00000021762,2752,1825,1032,1357,480,4398,1964,4176,673,2958
ENSG00000021776,2273,2697,3367,7346,1637,9881,8418,8742,2570,5959
ENSG00000021826,56,147,15,301,117,312,219,26,127,160
ENSG00000022267,1232,969,285,16125,487,2231,2009,106,446,653
ENSG00000022277,4999,4978,5848,5416,1866,5217,5658,5380,2603,3465
ENSG00000022556,6316,966,4055,527,939,4810,22,3897,2108,8
ENSG00000022567,3397,1475,1014,1657,987,1149,1177,2485,633,574
ENSG00000022840,8103,8521,9504,11454,3987,21343,16386,19833,10802,10657
ENSG00000022976,409,643,364,378,252,765,715,1250,324,632
ENSG00000023041,2731,1772,1585,3503,1432,2685,4606,3743,1957,2763
ENSG00000023171,231,236,334,1614,155,312,950,60,58,69
ENSG00000023191,9946,5822,5385,10214,1375,13307,13227,13752,4356,8646
ENSG00000023228,6626,7318,4384,7690,1478,9841,14080,13179,3938,5927
ENSG00000023287,5165,6114,5740,13670,4765,9183,10725,6719,3845,4572
ENSG00000023318,4353,6790,4705,9069,4795,5526,7158,3701,2782,3287
ENSG00000023330,4095,6063,2295,11066,850,4766,7913,5914,1814,2829
ENSG00000023445,1201,489,1133,19921,2745,1488,32397,1371,210,1504
ENSG00000023516,1726,3641,1203,9130,2696,6199,12278,14245,1710,6001
ENSG00000023572,2057,2295,1004,1207,710,1381,1947,1259,776,985
ENSG00000023608,399,849,633,564,231,234,599,322,211,155
ENSG00000023697,1251,1383,1694,2451,1939,1353,3451,1801,916,1532
ENSG00000023734,6282,5645,7836,18028,8009,6531,10903,12772,4791,6949
ENSG00000023839,1981,690,27,88,30,38,51,68,56,40
ENSG00000023892,1494,1001,1054,3806,569,1513,1598,1018,934,1267
ENSG00000023902,6953,3023,2462,9187,1517,1619,3974,903,799,1298
ENSG00000023909,2106,1155,2234,4097,1042,2489,1906,1765,1968,1366
ENSG00000024048,47599,3855,1788,9963,2618,8837,9106,7740,2632,5392
ENSG00000024422,5636,4468,4626,9614,1889,8472,12299,2028,10998,3103
ENSG00000024526,1269,1325,1983,2904,1555,191,878,675,465,194
ENSG00000024862,1958,1432,1700,2337,381,2174,1881,2120,576,1864
ENSG00000025039,2050,2989,413,2188,323,739,3745,116,146,237
ENSG00000025156,1987,1437,1095,1486,664,842,864,1739,566,979
