,Basal18,Basal73,Basal98,Basal103,Basal109,LumA18,LumA73,LumA98,LumA103,LumA109
ENSG00000104325,11107,10403,1852,6302,1712,4576,6324,5478,3437,3837
ENSG00000104331,17456,7902,10159,16276,5134,12097,16375,11029,6052,7058
ENSG00000104332,83418,27880,48403,13460,2429,7513,3765,53,1149,9129
ENSG00000104341,39858,21039,24156,7142,15111,7166,7860,12473,4892,4205
ENSG00000104343,1348,2480,1643,4175,1594,3548,4609,2823,1701,1572
ENSG00000104356,2368,3751,978,1415,459,748,1006,776,378,375
ENSG00000104361,3041,3093,1047,3252,1285,1406,4442,1545,418,998
ENSG00000104365,8052,1941,1747,4537,1987,12073,9795,10567,4638,6755
ENSG00000104368,2362,3184,571,2517,1927,17103,17913,1705,21484,19612
ENSG00000104369,888,1504,363,785,652,642,237,147,173,387
ENSG00000104375,4327,2886,2248,2630,1867,2577,2968,2069,2499,1802
ENSG00000104381,569,1554,545,859,535,1738,663,988,452,1335
ENSG00000104388,28385,9069,15355,17242,6867,15441,14489,16274,10725,11335
ENSG00000104408,40864,59082,25845,41461,17194,17319,35585,15038,13050,11548
ENSG00000104412,6036,6971,1882,4407,1810,2201,3781,2706,2713,1582
ENSG00000104413,15596,19632,8286,11685,6255,12436,7286,10792,6543,6175
ENSG00000104415,1005,1683,157,1740,1646,2132,3858,74,1072,781
ENSG00000104419,49088,274322,38378,21974,6819,6939,6278,3383,5956,5720
ENSG00000104427,1245,956,225,977,470,314,375,25,169,123
ENSG00000104432,88,60,26,359,67,36,94,6,27,23
ENSG00000104435,31,14,5,328,57,150,56,33,163,109
ENSG00000104442,6923,3848,4188,4825,2717,3552,5007,3575,2119,2102
ENSG00000104447,47407,42363,6690,29905,9186,70126,31693,101494,6421,27602
ENSG00000104450,1125,569,514,855,385,1286,1037,2832,932,1377
ENSG00000104472,4142,3086,2942,2646,1061,2410,2774,2145,1100,1244
ENSG00000104490,9214,8702,470,1594,402,823,624,686,433,1482
ENSG00000104497,1096,977,376,942,675,886,1626,967,415,633
ENSG00000104517,12769,7010,3765,19898,6014,21122,19228,18510,5695,10436
ENSG00000104518,7445,1777,2626,5285,1260,4091,4368,7140,4371,3693
ENSG00000104522,17888,7996,8876,3537,2710,5663,6558,6086,4328,4625
ENSG00000104524,6428,2982,1950,1016,463,2656,1293,1899,1394,1275
ENSG00000104529,8398,6717,5161,4368,2046,3389,5822,4549,2955,2307
ENSG00000104549,19381,16598,3519,5939,1684,4741,2180,2632,7098,2360
ENSG00000104611,577,387,866,605,937,4960,4035,2697,80,1911
ENSG00000104613,2806,3700,3441,4945,3052,4010,5379,3839,1051,2497
ENSG00000104626,778,2618,1188,2430,1497,2084,1995,1249,294,570
ENSG00000104635,2266,4960,5402,14484,7454,6424,6883,5492,1360,3107
ENSG00000104643,548,1017,316,1497,554,1904,2535,1307,472,706
ENSG00000104660,2077,2362,3016,8038,2778,4436,6653,3623,1894,2985
ENSG00000104671,760,737,937,876,617,1463,1820,1726,414,994
ENSG00000104679,1817,2481,1190,1833,1059,2267,2228,2684,818,1490
ENSG00000104687,3172,1267,5502,5456,3377,5200,11556,9143,2453,6332
ENSG00000104689,1111,380,392,1444,996,919,1761,692,253,580
ENSG00000104691,237,690,620,687,237,1374,1304,894,152,571
ENSG00000104695,2903,4581,3736,5163,4217,8634,11596,8464,1958,4980
ENSG00000104714,1593,582,518,1360,923,977,1185,832,408,544
ENSG00000104723,2795,1630,3972,2336,5596,6343,970,4357,1441,1173
ENSG00000104728,50,56,16,27,70,47,40,57,12,23
ENSG00000104731,3880,1515,2002,1733,904,1444,1384,1458,641,851
ENSG00000104738,33376,9822,20375,17697,8073,5596,7961,8877,4887,5683
ENSG00000104756,913,1623,2124,3886,1430,2951,3243,2607,653,1767
ENSG00000104763,7017,4646,2847,31348,7297,114074,61906,115871,4984,47399
ENSG00000104765,3182,6229,6473,11396,4495,14943,10535,12167,3672,9973
ENSG00000104774,4894,5369,3271,14060,1883,3407,14401,4480,1956,2005
ENSG00000104783,12313,1855,6519,1913,567,613,1705,254,154,1388
ENSG00000104805,19851,12438,12536,21418,6248,19461,17084,14234,10892,9422
ENSG00000104808,159,61,26,92,37,25,19,19,9,7
ENSG00000104812,4694,5030,3624,6253,1716,5155,7830,5843,2533,2932
ENSG00000104814,466,144,339,3043,243,297,402,181,44,290
ENSG00000104823,6988,2601,4610,4213,1150,6182,3660,6669,2702,2769
ENSG00000104824,16145,10959,9273,13736,3962,10684,13178,16306,7957,7059
ENSG00000104825,4964,1809,719,1435,396,1060,1552,1195,764,702
ENSG00000104835,223,80,90,108,25,70,120,192,45,56
ENSG00000104852,22836,10256,8027,7317,3070,14283,10395,22833,6830,5584
ENSG00000104853,9449,10223,7271,12842,2376,14089,10535,17398,10276,6963
ENSG00000104856,1128,1334,2149,4498,633,780,2775,2045,826,836
ENSG00000104859,2534,1473,2403,1340,757,2250,1937,3487,1013,1411
ENSG00000104863,400,387,123,96,63,112,120,159,89,87
ENSG00000104866,2702,2476,1929,1743,786,6352,4287,7432,3049,3610
ENSG00000104870,3245,2769,2475,13313,2486,20786,9377,9004,5990,7117
ENSG00000104872,5240,3026,2291,3166,1010,4026,3005,4918,2005,2996
ENSG00000104880,1547,2655,1370,2120,642,1273,2233,3126,1750,1320
ENSG00000104881,3391,5001,2402,2887,1169,3554,1907,3080,3377,1598
ENSG00000104883,145,542,85,88,21,425,270,724,374,452
ENSG00000104884,1574,2249,1811,1522,760,2080,1153,2735,748,1037
ENSG00000104885,2476,2649,1422,2003,317,1229,2817,2228,1186,732
ENSG00000104886,4891,3196,2260,1773,505,1367,2648,2535,1515,1729
ENSG00000104888,46,91,16,110,23,92,33,8,37,14
ENSG00000104892,128,679,383,319,70,429,60,165,144,98
ENSG00000104894,1159,830,461,7970,619,847,1345,351,217,899
ENSG00000104897,4887,6484,5569,2886,515,2228,2804,4520,2999,1757
ENSG00000104899,16,86,5,43,8,27,7,185,52,15
ENSG00000104901,60,231,18,45,21,172,34,19,221,21
ENSG00000104903,193,188,70,569,49,262,364,124,66,150
ENSG00000104904,18414,23539,22599,26838,3755,11474,26588,20831,13903,13847
ENSG00000104907,2521,4850,2913,1578,860,2079,1898,1957,1004,1121
ENSG00000104915,3075,4534,2392,1564,754,2107,2386,3342,1312,1728
ENSG00000104936,2345,573,1060,831,424,1134,715,1998,705,691
ENSG00000104946,4172,1599,1061,2180,633,3712,2368,5512,2563,2344
ENSG00000104951,650,2253,521,4325,340,207,1127,515,216,79
ENSG00000104953,154,30,173,44,9,218,33,1784,228,496
ENSG00000104957,1535,1443,729,753,479,2058,1258,2255,922,955
ENSG00000104960,3525,1260,1331,899,620,2012,1551,3080,1800,1262
ENSG00000104964,8385,12064,10177,8689,1228,9489,8827,16681,9469,8077
ENSG00000104967,220,141,91,640,121,372,416,124,134,148
ENSG00000104969,6762,5953,5679,4644,1156,3849,5163,8169,4342,3725
ENSG00000104972,415,312,370,3386,298,252,715,270,58,268
ENSG00000104973,8484,4337,2781,3369,965,4927,3722,4404,3416,2355
ENSG00000104974,24,14,67,208,26,73,130,74,5,44
ENSG00000104976,879,2149,975,1118,330,1185,1352,2834,1629,1901
ENSG00000104979,3208,8416,6400,3833,923,3868,3515,4794,4085,2622
ENSG00000104980,2809,4481,2657,1974,794,1194,2610,2614,883,1244
ENSG00000104983,962,431,342,422,168,584,652,678,347,538
ENSG00000104998,556,440,1178,4999,2619,1055,1546,606,796,578
ENSG00000105011,1160,1955,3278,1720,739,1027,1264,1727,1249,788
ENSG00000105048,48,155,636,460,309,4523,877,2086,1052,1149
ENSG00000105053,2653,1509,1332,3026,1112,3446,3092,3485,1428,2190
ENSG00000105058,3928,6426,4471,5963,1621,5943,6578,5457,3921,3488
ENSG00000105063,2884,6677,5982,9041,2246,6859,9080,6611,4166,3965
ENSG00000105072,290,498,220,237,104,707,710,850,193,273
ENSG00000105085,381,733,506,516,151,479,375,661,319,268
ENSG00000105088,2940,6206,3495,1208,836,1234,307,60,702,217
ENSG00000105122,638,336,328,3211,342,444,785,255,127,422
ENSG00000105127,2265,2627,1896,2361,866,3218,3612,3203,1150,1952
ENSG00000105131,69,527,12,53,19,33,27,19,152,11
ENSG00000105135,3518,6013,2642,2696,992,3002,2126,3125,2858,1913
ENSG00000105136,177,446,257,523,451,1137,511,1028,319,374
ENSG00000105137,774,2320,890,1132,248,743,825,178,340,269
ENSG00000105146,121,48,36,123,10,58,60,59,26,37
ENSG00000105171,2379,2374,1953,3316,2143,2640,2331,1966,1234,1362
ENSG00000105173,913,957,2222,2670,2200,135,466,174,115,103
ENSG00000105176,5831,9600,4807,11303,9278,9015,8024,7435,2885,4701
ENSG00000105185,4984,5730,7246,5213,1827,1975,3355,1990,1288,1255
ENSG00000105186,6054,3055,4748,6568,1718,4705,3026,3327,844,1784
ENSG00000105193,89131,52617,79999,64976,10798,16887,40885,26922,17541,19460
ENSG00000105197,12040,4917,6973,5247,1672,3405,3631,4274,1968,2057
ENSG00000105202,32352,18767,23673,16474,3454,5392,7669,5350,3814,4714
ENSG00000105204,6197,1045,2400,1330,294,2141,1479,3789,1794,1385
ENSG00000105219,2131,83,193,232,30,348,277,1469,317,977
ENSG00000105220,44817,36676,35487,32964,5252,18920,32471,19821,7886,9962
ENSG00000105221,42736,7828,6836,10087,2335,12387,8564,23922,5947,8956
ENSG00000105223,58885,11218,3693,28867,3883,18116,15797,11736,8120,7446
ENSG00000105227,1906,274,338,418,111,902,463,762,346,506
ENSG00000105229,2918,3291,1602,1254,272,1416,1906,2633,1406,1299
ENSG00000105245,1108,1146,1285,3866,581,4549,876,1860,540,753
ENSG00000105246,168,71,65,1019,81,104,313,127,18,75
ENSG00000105248,764,1593,990,819,136,1000,1154,1804,666,675
ENSG00000105254,13929,3916,5051,5107,726,3503,2806,4180,3549,1789
ENSG00000105258,381,262,277,198,15,118,140,259,121,107
ENSG00000105270,717,716,515,1719,443,1205,850,311,603,429
ENSG00000105281,12524,8000,6132,8271,2947,2987,10162,6716,5176,5030
ENSG00000105287,4689,3295,3664,5034,1725,5012,3224,5183,2732,3065
ENSG00000105289,2574,2325,419,478,40,4276,5197,5865,4617,3234
ENSG00000105290,247,181,82,397,196,196,327,780,62,165
ENSG00000105298,1165,1514,940,655,176,776,1034,1234,502,598
ENSG00000105321,2023,1995,1604,1655,580,2124,1975,2796,1383,1526
ENSG00000105323,14434,17417,21432,27782,5549,20422,17536,33771,11007,11297
ENSG00000105325,2990,4288,3426,2499,622,2680,3596,6268,3278,2855
ENSG00000105327,936,909,644,437,77,795,452,1562,868,736
ENSG00000105329,2992,2549,1590,7983,856,3406,4237,3742,2424,1455
ENSG00000105339,1556,1160,862,3708,565,818,1907,2080,412,1051
ENSG00000105341,1447,2339,2936,3003,628,2927,2980,4744,2033,2158
ENSG00000105355,3684,6515,1938,5092,966,2907,7568,6580,3859,3339
ENSG00000105357,11983,1320,3680,5340,2722,2505,4512,3111,6803,2066
